Tag,Description,Signal Type,PLC Address,Module,Subsystem,Assembly,Device,Safety
M5_Therm,Rotator Motor Thermistor Fault,DI,I2.7,DI16 (PLC1.1),Rotator,Rotator Drive,M5,No
Rot_Brake_Open,Rotator Brake Open,DI,I3.0,DI16 (PLC1.1),Rotator,Rotator Brake,K2,No
Rot_Brake_Fault,Rotator Brake Contactor Fault,DI,I3.1,DI16 (PLC1.1),Rotator,Rotator Brake,K2,No
Rotate_Left,Rotate Left (Pendant),DI,I2.1,DI16 (PLC1.1),Rotator,Rotator Pendant,Pendant,No
Rotate_Left_Fast,Rotate Left Fast (Pendant),DI,I2.2,DI16 (PLC1.1),Rotator,Rotator Pendant,Pendant,No
Rot_Right,Rotate Right (Pendant),DI,I3.6,DI16 (PLC1.1),Rotator,Rotator Pendant,Pendant,No
Rot_Right_Fast,Rotate Right Fast (Pendant),DI,I3.7,DI16 (PLC1.1),Rotator,Rotator Pendant,Pendant,No
Travel_Horn,Travel Horn,DO,Q0.2,CPU 1214C,Indicators,Travel Indicators,HORN,No
Travel_Strobe,Travel Strobe,DO,Q0.3,CPU 1214C,Indicators,Travel Indicators,STROBE,No
Spare_DI_c1,Spare,DI,I4.1,DI8 (PLC1.2),Spare,Spare,,No
Spare_DI_c2,Spare,DI,I4.2,DI8 (PLC1.2),Spare,Spare,,No
Spare_DI_c3,Spare,DI,I4.3,DI8 (PLC1.2),Spare,Spare,,No
Spare_DI_c4,Spare,DI,I4.4,DI8 (PLC1.2),Spare,Spare,,No
Spare_DI_c5,Spare,DI,I4.5,DI8 (PLC1.2),Spare,Spare,,No
Spare_DI_c6,Spare,DI,I4.6,DI8 (PLC1.2),Spare,Spare,,No
Spare_DI_c7,Spare,DI,I4.7,DI8 (PLC1.2),Spare,Spare,,No
